frame,t,ped_id,x,y,speed,r_k,k_density,q,scene
0,0.0,3,2.3,-4.59,1.4800760115615677,6.752962312940891,0.02094029183819686,0.030993223624813656,seq_hotel
0,0.0,4,2.74,-2.5,1.825684803025977,5.523929760596165,0.03129500942365002,0.05713482311531259,seq_hotel
0,0.0,5,-1.59,0.93,0.0,5.523929760596165,0.03129500942365002,0.0,seq_hotel
0,0.0,6,-1.72,1.32,0.0,5.872307893835268,0.027691963187315045,0.0,seq_hotel
0,0.0,8,-1.45,-0.76,0.0,4.536926272268484,0.04639251730987975,0.0,seq_hotel
10,0.4,3,1.94,-4.12,1.678401397163383,6.16144463579768,0.025153955087040995,0.04221843336227459,seq_hotel
10,0.4,4,2.76,-1.77,1.7875437057593861,5.119814449762804,0.036430316015312235,0.06512078209199675,seq_hotel
10,0.4,5,-1.59,0.93,0.0,5.119814449762804,0.036430316015312235,0.0,seq_hotel
10,0.4,6,-1.72,1.32,0.0,5.4422881217370325,0.03224098649666162,0.0,seq_hotel
10,0.4,8,-1.45,-0.76,0.0,4.329457240809753,0.05094534088151919,0.0,seq_hotel
20,0.8,3,1.53,-3.49,1.73065197252365,5.410249532138051,0.032623968547199664,0.05646073551776062,seq_hotel
20,0.8,4,2.73,-1.07,1.687916615239035,4.760504174979789,0.042137181346696376,0.07112404851442915,seq_hotel
20,0.8,5,-1.59,0.93,2.220446049250313e-16,4.760504174979789,0.042137181346696376,9.356333784781595e-18,seq_hotel
20,0.8,6,-1.72,1.32,0.0,5.051197877731578,0.037426793230204355,0.0,seq_hotel
20,0.8,8,-1.45,-0.76,0.0,4.0414477603947825,0.05846520045253389,0.0,seq_hotel
30,1.2,3,1.14,-2.99,1.549697551136995,4.776955097130389,0.041847456256387,0.06485090048183545,seq_hotel
30,1.2,4,2.73,-0.42,1.7626772960471238,4.5260247458448575,0.046616271426825215,0.08216944327043507,seq_hotel
30,1.2,5,-1.59,0.93,0.0,4.5260247458448575,0.046616271426825215,0.0,seq_hotel
