ped,other,frame,t,d_min,turn_deg,lat_other,speed,turn_dir,scene
3,7,90,3.6,0.9752474281617003,9.669552866109683,-0.6641097914108348,1.1040504218557308,左,students03
3,31,220,8.8,1.141512997301391,45.311004795591,-1.074076889878771,0.7974408985455244,左,students03
4,75,340,13.6,1.0313389053044393,27.237018734205265,0.7259791085092451,0.5314115286525719,右,students03
4,75,750,30.0,0.7884733193370183,11.962463535815232,0.2712644153357895,0.39250741892795693,右,students03
4,42,800,32.0,0.45039094999621526,36.40700451994314,-0.40820630219814313,0.70154798087668,左,students03
4,45,850,34.0,0.42096360564879787,10.128180471333167,-0.3822116845431027,0.6691865886959233,左,students03
4,316,940,37.6,0.5665205276629647,15.144941912851408,-0.16408886352505292,0.7447948471755345,左,students03
4,75,1030,41.2,0.4872738296256789,8.097063139323524,0.4707232163263827,0.6826469687441582,右,students03
5,6,0,0.0,0.7814339410021591,13.05546763059752,0.7628564344091153,1.8186524661510208,右,students03
5,10,120,4.8,0.598232714708198,33.27563517990848,0.3613881768560819,1.4452609571366974,右,students03
6,5,0,0.0,1.0736926073301492,10.847755843609804,-0.7748057016357977,0.6380105652933957,左,students03
6,1,50,2.0,1.0820890134100116,65.20765328628136,-0.9605119371256972,0.48964597714327274,左,students03
7,17,0,0.0,0.7160613754618483,14.7935334678522,0.5844243473732087,1.011322640271257,右,students03
7,8,170,6.8,0.4819909541170342,18.65881820397979,-0.47754291772247554,1.0052714015867648,左,students03
7,8,230,9.2,0.42911226429615296,8.872635556564887,-0.42757700481670746,0.8104413399311606,左,students03
7,8,300,12.0,0.35796910939106874,22.455759458527154,-0.3393849672030619,0.8266477301457615,左,students03
8,7,30,1.2,0.8063279722060961,15.526189685456842,0.7511221579855213,0.9095977624516469,右,students03
8,76,260,10.4,0.6639723086064633,25.61394233131864,-0.5445549304815064,0.8938705497882514,左,students03
9,273,100,4.0,0.43910641917571885,8.453010392925876,-0.410560515391354,0.6514564676909045,左,students03
10,12,0,0.0,0.27080115430670004,17.370390260277105,-0.23122965249688332,0.6774994558668697,左,students03
10,12,260,10.4,0.4960232223207311,9.704091123328368,-0.49550474813999534,0.6288310762343399,左,students03
10,12,320,12.8,0.622134554065204,9.671671810501266,-0.6137945861839754,0.8347358392214905,左,students03
10,12,470,18.8,0.1930833767619126,25.30914201763818,0.186202928906531,0.361266792498814,右,students03
10,13,560,22.4,0.42524005455790126,39.65836507219723,-0.3315819880192761,0.7806512088674249,左,students03
11,13,50,2.0,0.2700759047277574,22.477076974142307,-0.26289694028312927,0.5213082822703767,左,students03
11,10,240,9.6,0.16670546589557797,8.826650665892288,-0.15599767020316618,0.9563223350119235,左,students03
11,23,290,11.6,0.6023379155862354,48.500424761642364,0.6012537294422864,0.845818161774912,右,students03
11,12,400,16.0,0.6895612340914611,54.216119504423176,-0.30361438438672994,0.3018223861824425,左,students03
11,12,590,23.6,0.8444952099714679,12.259857867348643,0.2787395105725976,0.3491903522977002,右,students03
12,76,40,1.6,0.33931807985564616,9.770484086546588,-0.24029506572324721,0.5260990867987423,左,students03
12,75,90,3.6,0.3619352650818797,13.75007312463751,0.3536366388442938,0.5255225789964786,右,students03
12,25,200,8.0,0.6730102220816473,17.550508421520988,0.6706901281724333,0.900631080628524,右,students03
12,13,300,12.0,0.6793426706405341,13.948609864353585,-0.1815729884587299,0.7388758284291741,左,students03
12,13,380,15.2,0.6183370032642327,16.927909917486375,-0.40701594675659625,0.5765661798794357,左,students03
12,76,470,18.8,0.27715639548314586,13.040787344120304,0.2571802611874315,0.3760335932832751,右,students03
13,12,0,0.0,0.5710048033013005,15.215042957768333,0.4099639557516478,0.4760894551072908,右,students03
13,76,90,3.6,0.310808036711111,8.411250170485346,0.3087730074790563,0.6758719576606192,右,students03
13,12,220,8.8,0.5365811379852866,26.6343801782007,0.4200230032772121,0.7768920032981445,右,students03
13,79,580,23.2,0.2428707698994509,46.445068797503495,-0.15232764914082972,0.9267114503565378,左,students03
14,16,160,6.4,0.39936544616707764,11.497123511766773,0.3851931612493015,0.5474045164734725,右,students03
15,3,120,4.8,0.8657780222211653,54.13859229013073,-0.8593257544994517,0.5512413648420809,左,students03
16,15,0,0.0,0.6742002072923734,49.02687210047151,-0.16375388446920214,0.5184641304167236,左,students03
16,15,30,1.2,0.5651220975416248,38.88766336304457,-0.2333857888375439,0.3557643488863036,左,students03
17,7,110,4.4,0.788658244880137,9.295275602758863,-0.5084413337244361,1.4300746442807657,左,students03
18,19,30,1.2,0.999118121369495,21.190798052731736,-0.6584286738841827,0.9199604224868345,左,students03
19,20,80,3.2,0.560993181214256,9.05225354844032,0.5475922024879905,0.38556300426270945,右,students03
19,20,130,5.2,0.5463235949485067,15.657860682226556,0.538172471771376,0.33593087087864687,右,students03
19,20,200,8.0,0.56271551135607,12.358936695477809,0.5627132326221957,0.6320125129433191,右,students03
19,27,450,18.0,0.22055583534122417,18.45119718097928,0.17513855245493573,0.6587543486367574,右,students03
20,28,100,4.0,0.5342681799676334,23.56758974617034,0.413126833327515,0.3207683520095938,右,students03
20,29,350,14.0,0.2033395940843621,17.359447481192916,-0.19820576799106732,1.0036854627242817,左,students03
20,27,390,15.6,0.17616173184398382,10.129388985933758,0.16955366733114596,0.951520014510794,右,students03
21,22,70,2.8,0.6852385066280233,14.238082157112103,-0.6682876405723699,0.6242470603925224,左,students03
22,21,140,5.6,0.8542852966764318,11.903130633708457,0.8341414050833573,1.1672368415572247,右,students03
23,24,10,0.4,0.8257836025872067,21.08339003407295,-0.7963115988551074,0.5956832910073919,左,students03
23,17,170,6.8,0.20336710916340403,10.798194708726157,0.16164807639436807,0.9538067014010969,右,students03
