ped,other,frame,t,d_min,turn_deg,lat_other,speed,turn_dir,scene
1,2,10,0.4,0.5042305905863667,10.891599634408749,-0.49211650701,1.2838371687500025,左,zara01
1,9,100,4.0,0.6018751416377708,12.267384833548647,0.595604666705499,1.3526841900044593,右,zara01
1,2,150,6.0,0.5696691493598163,8.285947803826133,-0.5683160034782118,1.364487857436379,左,zara01
2,1,90,3.6,0.611094410645518,10.444144394046248,0.6109998843145836,1.3291398920714048,右,zara01
4,3,240,9.6,0.7594030946832797,19.217150191026604,0.7588564057010881,0.756220225069066,右,zara01
6,7,10,0.4,0.22947567872438282,22.997549407736358,-0.15587755739318995,1.221883505636687,左,zara01
8,16,520,20.8,0.6444893433199035,9.89478642255088,0.5611211666379077,0.3313454952515705,右,zara01
8,27,1470,58.8,0.7927124228193644,12.698215806252392,0.7926645335763304,0.40074156638669606,右,zara01
8,34,1900,76.0,0.8525627300038519,22.986087094109735,0.8335481787020262,0.47847188588688616,右,zara01
9,7,100,4.0,0.55460630770908,10.203795860300374,0.549625470241442,1.0701675818640388,右,zara01
10,11,300,12.0,0.7757772058139291,8.253634182028378,-0.7757342542345868,1.2419906810001455,左,zara01
10,11,370,14.8,1.1756125952008991,11.346738234978915,-1.171602899484109,1.2023288214558285,左,zara01
14,15,530,21.2,0.8543502753674626,8.865043909837965,-0.7816553271508263,1.5227584593666688,左,zara01
14,15,630,25.2,0.5293762619779151,9.617067324498976,-0.5275852189850174,1.3784015308766766,左,zara01
15,18,670,26.8,0.48155914079879647,25.790715726208532,-0.18514801764345404,1.0815233409169653,左,zara01
16,17,490,19.6,0.7890080953505837,51.929908969979806,-0.5199192103001956,0.35923701885727644,左,zara01
16,18,600,24.0,0.5931797379847769,18.2001352429439,-0.4942210365742599,0.33117144343654614,左,zara01
17,16,570,22.8,0.39238160354156615,21.1059737558692,0.3597438591447059,0.46977501328086485,右,zara01
17,19,790,31.6,0.20285252427896183,16.255994842103718,0.17877010709478727,0.7762611252093387,右,zara01
18,20,580,23.2,0.5558681347516508,55.6456568221102,-0.35138756893023626,0.4313491062824802,左,zara01
20,12,640,25.6,0.33982993407926,56.312361146505225,-0.327517778343341,0.8024982872301917,左,zara01
20,18,760,30.4,1.0607920607615018,26.734687017617546,0.9840114447609879,0.907621274419989,右,zara01
