frame,t,follower,leader,dist,lateral,angle,v_follower,v_leader,_seg,scene
0,0.0,2,3,1.4311627455,0.025044780173567472,1.0027045888558923,1.2956111464005922,1.036038564183495,3,zara01
10,0.4,2,3,1.32330754901584,0.10693772480791108,4.635180009889346,1.2953533612863692,1.0363509961119386,3,zara01
20,0.8,2,3,1.2221335371720787,0.16325092529704757,7.676437061678456,1.2635878256817072,1.036350996111935,3,zara01
30,1.2,2,3,1.1484429452432625,0.1585233609028505,7.934057298911673,1.1869634923045707,1.032204732609467,3,zara01
40,1.6,2,3,1.1038268829160354,0.11906376127564933,6.19222931670089,1.142914222017381,1.0285769768015873,3,zara01
50,2.0,2,3,1.0578193313087656,0.1706915257256438,9.28594299916088,1.1529757321492091,1.027702139410165,3,zara01
60,2.4,2,3,1.0114949319496953,0.369275830686562,21.412461154070698,1.2073343728533281,1.0298838759707558,3,zara01
170,6.8,4,10,2.6511008377009926,0.45765090118139423,9.940578662200844,0.9564610410543636,1.2404983551679578,5,zara01
180,7.2,4,10,1.789895959380406,0.38521471874367985,12.428215258704569,0.9238562660364091,1.2309446435207803,5,zara01
190,7.6,4,10,0.9752769927274723,0.36888678897718485,22.224581035585466,0.9044946769880148,1.219663737512223,5,zara01
0,0.0,7,6,1.849841493982812,0.19460651678555163,6.038788940933124,1.238919931194491,1.2221728261992033,7,zara01
10,0.4,7,6,1.8458112544351868,0.30196444520260385,9.415591941984681,1.2389199311944912,1.221883505636687,7,zara01
20,0.8,7,6,1.8479763578177406,0.3419908159190693,10.664766562089397,1.249032146412392,1.221883505647992,7,zara01
30,1.2,7,6,1.8396208515548105,0.2814215624717973,8.799547047788732,1.274533226940663,1.117460185335307,7,zara01
40,1.6,7,6,1.7346636946451286,0.28378571272623465,9.415738907523984,1.2898465200251987,0.9897771000699693,7,zara01
50,2.0,7,6,1.6142645751886588,0.3581438285620025,12.818415742306822,1.2895871333831248,0.9283266533411478,7,zara01
60,2.4,9,6,2.321456905393203,0.19782018659285536,4.888319862310638,1.2426612033450608,0.8623665426742959,11,zara01
70,2.8,9,6,1.5428176999936911,0.2360982508397799,8.802592796341184,1.1863385790669152,0.9510389892347074,11,zara01
80,3.2,9,6,0.8655675073186179,0.4041490447269589,27.834422153462203,1.1300902691188646,1.1460036736172712,11,zara01
170,6.8,10,4,2.6511008377009926,0.3034422209717097,6.57241916659887,1.2404983551679578,0.9564610410543636,13,zara01
180,7.2,10,4,1.789895959380406,0.3568964163718543,11.501586161532636,1.2309446435207803,0.9238562660364091,13,zara01
190,7.6,10,4,0.9752769927274723,0.39057877602821334,23.608179148816433,1.219663737512223,0.9044946769880148,13,zara01
680,27.2,15,14,0.983154348656258,0.44552942140529167,26.94681674041083,0.9121049251698186,1.1570620919893,15,zara01
690,27.6,15,14,1.0891521235187305,0.39110263324646827,21.044263805711854,0.8387304121576697,1.1332133819205985,15,zara01
700,28.0,15,14,1.176876248641171,0.17400943478719427,8.502759064838319,0.8185422959967916,1.1117190195396887,15,zara01
710,28.4,15,14,1.2495711932074642,0.17145059697529677,7.8862910179536385,0.8332387172550708,1.0872759780536163,15,zara01
650,26.0,15,18,2.582028698066376,0.42385704506781524,9.44824300216201,1.0473487810528235,0.7027357952572578,16,zara01
660,26.4,15,18,1.8768675893874127,0.2866584525725962,8.785305292600505,1.1349022806439717,0.7351616221997682,16,zara01
670,26.8,15,18,1.1160429420669578,0.327245145052695,17.05077953427397,1.0815233409169653,0.7172779749204297,16,zara01
570,22.8,16,17,0.6313865249768875,0.31379237791392733,29.801016013163764,0.2508789802845894,0.46977501328086485,18,zara01
580,23.2,16,17,0.6072337978110652,0.1998384035838905,19.213934514970784,0.2508789802867008,0.41942299075480305,18,zara01
590,23.6,16,17,0.5994317792713468,0.11774642233788675,11.328276027554818,0.2628696236486807,0.4146544867147934,18,zara01
600,24.0,16,17,0.6043034699463242,0.13823041504019495,13.223100252675536,0.33117144343654614,0.3533982313206016,18,zara01
610,24.4,16,17,0.5689785305216108,0.19723394502967548,20.282286111900135,0.3924664637856308,0.2925316357058621,18,zara01
620,24.8,16,17,0.5319006018484046,0.2078880013077824,23.006773252405203,0.39246646377144845,0.28374685135708844,18,zara01
650,26.0,18,15,2.582028698066376,0.24286492541476096,5.397204050294914,0.7027357952572578,1.0473487810528235,20,zara01
660,26.4,18,15,1.8768675893874127,0.41247697292687335,12.695454970608113,0.7351616221997682,1.1349022806439717,20,zara01
670,26.8,18,15,1.1160429420669578,0.34094002458401573,17.78764947080837,0.7172779749204297,1.0815233409169653,20,zara01
680,27.2,18,15,0.5282788538888462,0.25395297967383557,28.732284656862056,0.649192892410842,0.9121049251698186,20,zara01
610,24.4,19,12,2.651053753644441,0.15900301182543408,3.438509060374834,0.5441827571529804,0.9005673207679585,21,zara01
620,24.8,19,12,2.355816594170986,0.14957659422072,3.6402987213679143,0.5441827571525315,0.7954716883293793,21,zara01
630,25.2,19,12,2.10651404925809,0.45824273410538063,12.564354133169436,0.5441827571408819,0.8980394845504468,21,zara01
610,24.4,19,18,1.9211176652545559,0.31860599144686985,9.546272282528157,0.5441827571529804,0.7627768812397362,25,zara01
620,24.8,19,18,1.9591105037475613,0.12537596892184388,3.6692296359342995,0.5441827571525315,0.9284159186118721,25,zara01
630,25.2,19,18,2.0016434409163337,0.19912586018983824,5.709295558960883,0.5441827571408819,0.9281097222995919,25,zara01
640,25.6,19,18,2.015064417987768,0.10384255837601752,2.953938764833459,0.5969922107584905,0.7598622367350089,25,zara01
650,26.0,19,18,1.9484586346251231,0.2523192104416233,7.440516841992457,0.7489666627906745,0.7027357952572578,25,zara01
660,26.4,19,18,1.8295834782081737,0.2878354391958281,9.051543693841383,0.8396042357135207,0.7351616221997682,25,zara01
670,26.8,19,18,1.7168342500401343,0.2046771974476782,6.846961595805868,0.8483759671757028,0.7172779749204297,25,zara01
680,27.2,19,18,1.614366185004155,0.5347257121395106,19.343418423882373,0.9336735092413128,0.649192892410842,25,zara01
630,25.2,20,18,1.21187046628828,0.34206306833895306,16.395160146998776,0.8025703168610326,0.9281097222995919,27,zara01
640,25.6,20,18,1.2385841662708135,0.4463942683401242,21.125186677249744,0.8024982872301917,0.7598622367350089,27,zara01
650,26.0,20,18,1.2228378067180294,0.5522544674946748,26.847483014209466,0.8024982872366321,0.7027357952572578,27,zara01
2990,119.6,41,40,0.9649375172946839,0.3680347421401078,22.420915312391948,1.0962861667743886,1.1491376241816482,40,zara01
3000,120.0,41,40,0.9329786190090256,0.2409628628884971,14.96759212298386,1.0979034097229083,1.1565025236669453,40,zara01
3010,120.4,41,40,0.9224795878320629,0.14776987732456637,9.217790777554713,1.0876793508794558,1.1687882123912647,40,zara01
3020,120.8,41,40,0.9396396495453939,0.16672666823325533,10.22049708261706,1.0446834470568347,1.173687467531113,40,zara01
